Data,Asset,Net_NC,Net_Comm
1970-01-01 00:00:00.000230328,Soybeans,161020,-129321
1970-01-01 00:00:00.000230328,CHF,-6074,10733
1970-01-01 00:00:00.000230328,Gold,181630,-201508
1970-01-01 00:00:00.000230328,GBP,-24084,22577
1970-01-01 00:00:00.000230328,Corn,71528,-12518
1970-01-01 00:00:00.000230328,JPY,-53975,57562
1970-01-01 00:00:00.000230328,BTC,-276,-271
1970-01-01 00:00:00.000230328,AUD,-35353,45830
1970-01-01 00:00:00.000230328,SPX,-224656,270978
1970-01-01 00:00:00.000230404,SPX,-321459,281472
1970-01-01 00:00:00.000230404,BTC,-615,-183
1970-01-01 00:00:00.000230404,AUD,-27233,36837
1970-01-01 00:00:00.000230404,Nikkei,-3279,1784
1970-01-01 00:00:00.000230404,CHF,-8003,10822
1970-01-01 00:00:00.000230404,Soybeans,184345,-163267
1970-01-01 00:00:00.000230404,CAD,-58509,58148
1970-01-01 00:00:00.000230404,Gold,195216,-218250
1970-01-01 00:00:00.000230404,Copper,-2954,-4897
1970-01-01 00:00:00.000230404,Silver,21283,-31435
1970-01-01 00:00:00.000230404,Coffee,12648,-13119
1970-01-01 00:00:00.000230404,GBP,-14793,8881
1970-01-01 00:00:00.000230404,Corn,85690,-53314
1970-01-01 00:00:00.000230404,Wheat,-60799,54864
1970-01-01 00:00:00.000230404,VIX,-57086,56391
1970-01-01 00:00:00.000230404,EUR,143393,-194787
1970-01-01 00:00:00.000230404,USD Index,14106,-16154
1970-01-01 00:00:00.000230404,JPY,-57036,52266
1970-01-01 00:00:00.000230404,Sugar,246651,-304019
1970-01-01 00:00:00.000230404,10Y UST,-621031,618359
1970-01-01 00:00:00.000230404,Cocoa,60245,-64227
1970-01-01 00:00:00.000230404,Crude Oil,226127,-239970
1970-01-01 00:00:00.000230404,Russell 2000,-56956,61943
1970-01-01 00:00:00.000230404,Nasdaq,-18385,12556
1970-01-01 00:00:00.000230411,Gold,192745,-216548
1970-01-01 00:00:00.000230411,BTC,-1122,373
1970-01-01 00:00:00.000230411,Sugar,259788,-317308
1970-01-01 00:00:00.000230411,Copper,-4303,-1217
1970-01-01 00:00:00.000230411,Silver,23718,-36255
1970-01-01 00:00:00.000230411,Coffee,24877,-25241
1970-01-01 00:00:00.000230411,Crude Oil,235632,-255411
1970-01-01 00:00:00.000230411,10Y UST,-639037,622661
1970-01-01 00:00:00.000230411,Cocoa,59913,-65075
1970-01-01 00:00:00.000230411,Nasdaq,-2130,7920
1970-01-01 00:00:00.000230411,JPY,-57207,56349
1970-01-01 00:00:00.000230411,USD Index,13264,-15012
1970-01-01 00:00:00.000230411,AUD,-37937,47070
1970-01-01 00:00:00.000230411,GBP,-2398,-5341
1970-01-01 00:00:00.000230411,Corn,103309,-45283
1970-01-01 00:00:00.000230411,VIX,-49366,49252
1970-01-01 00:00:00.000230411,Russell 2000,-45131,46801
1970-01-01 00:00:00.000230411,Nikkei,-2114,1673
1970-01-01 00:00:00.000230411,EUR,163338,-212065
1970-01-01 00:00:00.000230411,SPX,-307612,342012
1970-01-01 00:00:00.000230411,CHF,-6734,9736
1970-01-01 00:00:00.000230411,Soybeans,179346,-148511
1970-01-01 00:00:00.000230411,CAD,-56579,58205
1970-01-01 00:00:00.000230411,Wheat,-66682,62318
1970-01-01 00:00:00.000230418,Russell 2000,-59162,64474
1970-01-01 00:00:00.000230418,Crude Oil,244575,-273247
1970-01-01 00:00:00.000230418,Wheat,-70536,65243
1970-01-01 00:00:00.000230418,CAD,-46233,42194
1970-01-01 00:00:00.000230418,Coffee,37001,-38309
1970-01-01 00:00:00.000230418,CHF,-4720,3386
1970-01-01 00:00:00.000230418,GBP,1302,-7995
1970-01-01 00:00:00.000230418,Silver,26595,-38656
1970-01-01 00:00:00.000230418,Gold,189893,-216425
1970-01-01 00:00:00.000230418,Soybeans,177510,-149491
1970-01-01 00:00:00.000230418,Copper,8934,-16280
1970-01-01 00:00:00.000230418,EUR,164361,-213285
1970-01-01 00:00:00.000230418,VIX,-63761,65590
1970-01-01 00:00:00.000230418,Nasdaq,2673,6417
1970-01-01 00:00:00.000230418,Cocoa,59355,-64143
1970-01-01 00:00:00.000230418,Sugar,269172,-326198
1970-01-01 00:00:00.000230418,Corn,105636,-41244
1970-01-01 00:00:00.000230418,JPY,-56869,61645
1970-01-01 00:00:00.000230418,10Y UST,-680081,638740
1970-01-01 00:00:00.000230418,USD Index,10513,-11955
1970-01-01 00:00:00.000230418,SPX,-344257,359830
1970-01-01 00:00:00.000230418,AUD,-42356,50557
1970-01-01 00:00:00.000230418,BTC,-489,-176
1970-01-01 00:00:00.000230418,Nikkei,-2556,1555
1970-01-01 00:00:00.000230425,JPY,-68744,72625
1970-01-01 00:00:00.000230425,GBP,5839,-10530
1970-01-01 00:00:00.000230425,SPX,-363267,386640
1970-01-01 00:00:00.000230425,USD Index,10739,-12711
1970-01-01 00:00:00.000230425,EUR,169400,-224437
1970-01-01 00:00:00.000230425,VIX,-81850,82906
1970-01-01 00:00:00.000230425,Crude Oil,236438,-271197
1970-01-01 00:00:00.000230425,Cocoa,61714,-66251
1970-01-01 00:00:00.000230425,10Y UST,-740261,685216
1970-01-01 00:00:00.000230425,Gold,185264,-211928
1970-01-01 00:00:00.000230425,BTC,-293,-296
1970-01-01 00:00:00.000230425,CAD,-43791,45878
1970-01-01 00:00:00.000230425,CHF,-3656,2701
1970-01-01 00:00:00.000230425,Sugar,279528,-335640
1970-01-01 00:00:00.000230425,Coffee,36592,-37705
1970-01-01 00:00:00.000230425,Silver,30603,-41523
1970-01-01 00:00:00.000230425,Copper,-17042,8304
1970-01-01 00:00:00.000230425,AUD,-39462,53746
1970-01-01 00:00:00.000230425,Nikkei,-2572,1806
1970-01-01 00:00:00.000230425,Russell 2000,-52119,57566
1970-01-01 00:00:00.000230425,Wheat,-83188,75369
1970-01-01 00:00:00.000230425,Nasdaq,5130,3469
1970-01-01 00:00:00.000230425,Corn,24648,34700
1970-01-01 00:00:00.000230425,Soybeans,104096,-76491
1970-01-01 00:00:00.000230502,Russell 2000,-59416,63996
1970-01-01 00:00:00.000230502,Nikkei,-3005,1837
1970-01-01 00:00:00.000230502,10Y UST,-749147,687947
1970-01-01 00:00:00.000230502,Nasdaq,13290,-501
1970-01-01 00:00:00.000230502,SPX,-355411,381267
1970-01-01 00:00:00.000230502,AUD,-45010,56552
1970-01-01 00:00:00.000230502,CHF,-2999,2567
1970-01-01 00:00:00.000230502,GBP,1065,-4817
1970-01-01 00:00:00.000230502,JPY,-68324,77521
1970-01-01 00:00:00.000230502,BTC,168,-819
1970-01-01 00:00:00.000230502,Soybeans,75120,-48516
1970-01-01 00:00:00.000230502,CAD,-50096,56587
1970-01-01 00:00:00.000230502,Sugar,267347,-322392
